N,P,K,temperature,humidity,ph,rainfall,label
39.88,51.65,39.71,25.61,60.17,6.71,93.71,Groundnut
36.82,83.38,59.8,25.49,58.99,6.91,119.2,Soybean
88.36,58.65,57.32,25.45,80.26,6.38,240.53,Rice
120.27,57.76,112.71,15.6,78.97,5.23,105.17,Potato
65.36,50.1,42.53,27.24,60.78,6.9,89.08,Sunflower
134.13,45.87,119.7,36.83,75.24,6.23,167.89,Banana
75.11,32.71,44.61,36.88,42.57,7.64,56.04,Jowar
105.24,53.43,76.02,22.2,64.4,5.97,122.36,Maize
73.8,46.31,39.37,31.6,56.8,6.79,69.31,Jowar
26.38,47.64,41.25,24.26,56.54,5.9,77.03,Groundnut
76.06,50.7,67.15,24.01,60.51,6.38,105.45,Tomato
90.49,51.75,83.06,23.85,63.76,6.79,103.95,Tomato
86.93,46.94,54.75,29.52,82.25,6.45,207.04,Rice
132.7,71.65,97.01,34.07,82.91,6.52,155.36,Sugarcane
78.68,40.54,38.05,33.19,54.98,6.31,84.43,Jowar
28.53,67.72,42.46,16.7,49.31,7.77,40.91,Chickpea
125.29,58.51,95.16,36.88,82.77,6.93,187.93,Sugarcane
26.42,71.59,50.22,18.72,41.22,7.05,52.12,Chickpea
71.96,46.99,48.68,9.77,62.26,6.52,68.67,Barley
88.04,50.79,59.84,14.98,54.03,6.54,32.77,Mustard
105.75,53.53,63.1,22.82,70.65,6.13,143.91,Maize
61.8,34.7,48.78,32.33,44.69,6.31,39.39,Jowar
125.79,60.19,91.84,37.32,84.75,5.91,217.28,Banana
27.51,74.56,52.97,16.71,45.14,6.68,48.98,Chickpea
15.96,62.25,31.13,13.29,43.64,6.32,32.52,Lentil
33.91,89.75,46.63,15.76,48.26,7.68,30.69,Chickpea
79.91,41.86,45.42,22.02,59.54,6.27,92.31,Sunflower
26.25,62.11,33.4,15.07,49.49,7.46,39.72,Lentil
76.28,47.46,40.1,26.83,58.83,7.14,77.51,Sunflower
31.55,80.88,39.74,21.12,53.18,7.61,54.91,Chickpea
61.86,48.9,59.47,16.89,62.55,7.76,40.16,Barley
83.71,57.37,55.53,32.71,88.45,6.76,231.31,Rice
92.11,38.52,46.82,34.35,52.61,7.88,66.42,Cotton
64.31,33.77,33.62,30.7,46.3,6.37,48.51,Bajra
74.47,34.73,58.75,10.08,47.43,6.93,36.53,Mustard
104.45,44.76,66.05,22.43,64.68,6.32,119.32,Maize
85.59,32.15,56.89,33.63,50.9,7.1,75.84,Cotton
65.5,44.63,48.16,15.24,57.14,6.53,48.62,Mustard
81.29,33.69,55.12,14.39,44.84,6.49,45.91,Mustard
114.49,63.88,79.42,34.62,72.37,7.4,161.53,Sugarcane
93.81,40.79,55.99,31.28,80.82,6.87,246.04,Rice
30.74,85.3,42.17,16.17,41.66,7.36,54.45,Chickpea
79.76,41.66,65.72,9.34,62.68,7.34,52.86,Barley
84.57,52.69,44.44,28.22,88.48,6.73,204.77,Rice
83.91,36.19,40.63,31.04,57.42,7.53,40.06,Jowar
64.5,44.2,41.24,27.68,59.13,6.26,75.02,Sunflower
112.79,45.82,126.32,30.18,85.93,6.36,152.65,Banana
131.84,71.65,122.69,32.84,76.26,5.98,173.96,Banana
120.57,64.15,78.72,32.05,71.55,7.03,154.9,Sugarcane
20.57,68.77,37.5,17.82,57.95,6.76,33.64,Chickpea
111.74,72.12,99.02,34.88,75.47,7.44,183.14,Sugarcane
102.1,54.0,67.16,25.03,62.12,6.37,127.09,Maize
55.33,32.99,41.22,33.41,50.17,7.76,82.67,Jowar
95.4,52.79,66.0,25.07,68.07,6.07,112.57,Maize
116.11,55.62,87.83,28.85,77.04,7.43,185.99,Sugarcane
61.98,55.89,48.29,27.08,65.75,7.11,73.52,Sunflower
74.0,32.99,57.2,36.63,56.89,6.88,40.67,Jowar
105.63,63.27,61.14,25.46,63.29,6.38,100.27,Maize
59.16,40.17,64.49,29.33,63.04,5.55,70.6,Mango
107.01,71.94,113.79,19.84,70.04,5.79,104.23,Potato
92.2,65.72,72.29,25.75,70.57,6.49,78.77,Tomato
87.47,34.12,50.62,31.17,42.1,7.58,99.4,Cotton
96.19,56.59,71.64,23.72,65.52,5.94,110.52,Maize
79.25,49.82,95.34,20.99,66.92,6.27,103.95,Tomato
125.46,69.64,104.1,20.94,84.54,5.49,92.14,Potato
136.88,51.34,102.01,32.32,81.13,5.51,161.68,Banana
71.55,27.15,47.23,37.53,44.23,7.94,44.91,Bajra
86.17,34.88,52.41,34.35,51.1,7.71,81.37,Cotton
75.23,41.33,67.47,10.44,60.82,6.92,43.39,Barley
64.87,41.53,35.88,37.51,50.47,7.07,57.71,Bajra
83.35,36.84,44.31,11.08,47.03,6.58,33.48,Barley
78.13,47.44,42.12,8.56,48.55,7.59,44.26,Barley
107.08,81.33,122.12,15.16,70.9,6.12,115.55,Potato
103.8,60.39,77.84,18.02,55.12,6.94,70.27,Wheat
98.97,45.95,73.13,22.76,72.09,6.26,66.86,Tomato
103.15,51.03,58.74,32.1,89.18,6.53,230.01,Jute
38.64,66.27,55.49,27.89,57.63,6.24,75.42,Groundnut
86.98,58.59,56.61,34.65,81.24,6.73,246.92,Rice
105.89,65.71,84.91,13.79,54.54,6.96,74.54,Wheat
64.33,52.74,61.35,9.69,49.98,7.43,69.35,Barley
80.57,39.54,42.55,16.53,56.95,6.39,46.86,Mustard
56.36,45.49,37.72,34.03,59.32,7.31,83.78,Jowar
21.76,61.44,68.36,26.93,60.69,6.31,132.81,Soybean
74.93,43.31,40.37,27.0,66.58,6.61,70.81,Sunflower
22.41,87.36,40.86,20.12,54.04,7.94,42.46,Chickpea
78.4,47.41,48.59,30.63,69.63,5.85,117.44,Mango
36.08,44.57,59.19,28.28,61.89,6.73,75.4,Groundnut
24.13,65.44,46.05,19.05,47.68,6.61,52.33,Chickpea
53.66,50.55,55.3,22.61,66.05,7.0,85.11,Sunflower
20.25,71.3,59.57,26.4,61.67,6.29,114.12,Groundnut
80.4,30.34,38.83,39.92,47.29,7.38,42.43,Bajra
95.94,47.74,57.12,32.66,81.52,6.27,204.93,Jute
111.35,74.83,102.37,21.8,84.05,6.13,115.17,Potato
94.96,28.63,42.41,31.15,49.92,7.66,93.92,Cotton
69.2,29.56,61.74,35.05,57.0,6.23,110.8,Mango
121.79,72.59,99.5,32.94,75.86,6.97,192.64,Sugarcane
38.09,62.9,43.5,26.66,69.96,5.96,112.59,Groundnut
57.39,50.17,57.66,25.11,60.53,6.57,93.55,Sunflower
100.79,66.08,87.26,23.67,68.41,6.32,92.91,Tomato
122.38,48.42,127.0,33.49,88.86,6.56,155.33,Banana
94.27,39.9,67.38,11.3,49.63,6.49,46.47,Barley
54.37,36.02,35.76,24.79,56.08,6.71,79.83,Sunflower
119.23,66.68,88.66,12.65,59.17,7.18,59.53,Wheat
94.43,40.87,65.23,23.74,69.71,6.36,122.85,Maize
108.22,67.04,74.35,13.67,55.86,7.48,78.64,Wheat
99.86,46.1,57.65,21.89,56.28,6.73,58.35,Onion
26.05,55.46,32.22,12.16,51.95,6.48,38.57,Lentil
86.28,52.72,64.3,12.76,60.61,6.31,47.78,Barley
84.55,42.34,59.07,35.4,48.23,7.0,61.6,Cotton
82.38,48.51,55.3,31.32,81.01,6.88,194.75,Jute
37.36,63.03,61.93,26.73,61.77,6.47,123.46,Soybean
107.24,84.24,114.09,17.26,76.19,5.91,100.67,Potato
77.87,35.57,56.19,25.54,65.07,6.6,99.75,Sunflower
75.97,43.35,41.56,33.42,47.99,7.9,99.91,Cotton
35.43,74.81,47.16,23.76,71.16,6.42,113.61,Soybean
24.73,79.88,71.6,25.21,59.12,6.95,133.85,Soybean
96.32,71.44,83.93,23.15,66.46,6.68,97.57,Tomato
104.55,45.3,65.32,33.69,85.08,6.71,242.97,Jute
30.34,80.71,57.76,22.99,63.22,7.19,139.99,Soybean
134.53,67.03,93.83,32.33,78.21,6.56,154.49,Sugarcane
23.1,73.2,67.05,23.14,59.6,6.28,91.24,Soybean
82.21,54.48,91.8,22.59,64.3,6.52,67.09,Tomato
65.66,36.58,54.95,31.16,45.14,6.58,51.77,Bajra
93.51,50.53,74.85,24.79,66.45,6.5,119.96,Maize
76.45,42.21,45.47,26.48,66.91,6.54,83.33,Sunflower
81.93,60.44,88.92,20.68,75.66,6.47,109.53,Tomato
15.3,79.34,29.43,17.31,42.39,6.39,36.8,Lentil
93.21,64.46,58.96,24.92,64.37,6.25,106.45,Maize
20.38,65.3,41.7,16.11,47.43,6.33,36.61,Lentil
30.48,55.02,50.13,23.05,61.55,6.37,99.76,Soybean
80.24,59.13,54.75,28.53,82.97,6.35,238.73,Rice
31.55,70.5,59.52,27.06,62.44,6.75,124.0,Soybean
74.51,52.89,63.16,16.58,56.78,7.32,40.47,Barley
31.09,68.99,56.44,26.68,63.03,5.97,118.03,Groundnut
85.46,38.41,60.89,15.02,55.61,6.67,68.77,Onion
136.66,64.29,87.9,31.33,74.15,7.16,155.99,Sugarcane
21.13,54.62,48.55,28.31,61.63,6.77,78.53,Groundnut
109.38,62.69,72.02,11.67,52.21,7.47,72.78,Wheat
90.46,63.18,81.53,23.1,63.03,6.35,68.84,Tomato
85.71,47.44,54.18,16.81,59.76,7.58,33.84,Barley
91.42,54.95,61.61,25.17,66.21,6.45,127.45,Maize
100.59,44.83,54.27,36.81,86.37,6.44,178.86,Jute
93.24,74.58,77.4,20.45,63.51,6.72,96.47,Tomato
117.71,70.02,83.49,32.28,76.06,7.21,195.89,Sugarcane
106.93,62.82,119.16,17.69,72.57,6.09,114.97,Potato
80.0,50.22,40.94,27.76,87.07,6.06,241.97,Rice
90.45,37.3,65.06,36.59,81.69,6.96,199.12,Jute
22.97,72.43,31.8,12.52,43.59,7.2,25.15,Lentil
128.81,56.47,79.74,31.38,71.17,6.69,195.56,Sugarcane
81.69,43.33,57.67,13.6,42.69,6.84,33.39,Mustard
101.35,37.18,66.41,30.27,83.73,7.03,186.69,Jute
41.11,49.73,44.74,24.62,62.77,6.17,90.29,Groundnut
78.42,43.0,39.22,24.19,63.7,6.9,97.72,Sunflower
54.0,39.51,52.62,33.44,59.41,5.57,82.35,Mango
94.75,49.2,67.34,10.2,61.59,6.47,50.64,Barley
100.78,61.94,80.73,19.35,62.52,7.34,59.1,Wheat
105.45,56.48,67.21,30.6,87.68,6.64,204.09,Jute
18.35,61.8,27.93,15.28,36.28,7.43,44.69,Lentil
105.94,54.76,57.42,25.29,68.43,6.35,131.46,Maize
111.01,64.03,86.67,18.15,59.18,6.87,57.66,Wheat
117.39,61.81,88.95,12.19,54.89,7.26,61.81,Wheat
28.2,55.75,56.32,25.96,70.48,7.14,135.48,Soybean
121.05,55.7,100.83,18.68,71.44,6.16,115.75,Potato
24.8,73.55,52.99,20.19,57.5,7.4,36.04,Chickpea
89.17,35.97,62.47,14.03,48.54,7.4,48.18,Barley
18.74,77.21,36.46,16.85,37.87,7.59,48.27,Lentil
26.16,67.95,38.33,18.12,46.12,7.2,40.73,Chickpea
132.16,46.85,89.79,31.25,81.47,5.96,153.22,Banana
27.38,63.74,49.19,28.36,63.97,6.25,95.98,Groundnut
30.75,58.58,52.32,26.03,60.07,6.42,84.28,Groundnut
70.36,26.39,53.5,31.23,57.13,7.6,63.12,Bajra
62.16,34.15,54.85,31.18,62.24,5.6,109.41,Mango
97.72,55.28,66.8,22.75,71.49,6.65,108.29,Tomato
53.99,28.66,47.99,39.61,42.16,7.3,39.57,Bajra
25.5,76.34,49.23,21.56,56.09,6.59,34.23,Chickpea
107.63,67.75,76.85,16.28,52.88,6.65,78.14,Wheat
28.98,69.51,44.59,19.61,47.79,7.52,41.28,Chickpea
69.12,28.79,55.37,28.58,64.91,6.25,85.33,Mango
117.12,64.35,73.86,11.91,61.53,6.77,73.02,Wheat
104.2,66.85,85.49,25.59,72.78,6.61,68.02,Tomato
91.22,57.53,48.07,26.34,80.29,6.76,231.02,Rice
58.24,40.56,42.65,24.12,59.01,7.18,97.98,Sunflower
65.61,27.38,49.18,32.52,53.35,6.17,83.85,Mango
59.34,39.27,38.95,32.23,50.8,6.76,51.71,Jowar
52.2,25.5,53.71,37.3,42.76,7.0,37.74,Bajra
18.91,56.21,36.19,18.01,38.33,6.85,25.42,Lentil
70.08,46.87,52.77,13.05,40.13,6.25,44.0,Mustard
53.77,37.22,67.4,37.96,68.89,6.98,65.84,Mango
97.25,53.98,63.63,28.12,82.56,6.38,206.94,Jute
132.75,68.02,79.44,28.51,80.24,6.75,174.98,Sugarcane
60.39,37.62,63.13,28.18,60.94,6.22,114.12,Mango
115.04,55.19,76.83,30.23,70.5,7.0,165.7,Sugarcane
97.55,54.77,40.27,27.48,82.14,6.27,212.38,Rice
117.63,81.37,109.88,18.42,83.93,5.67,119.86,Potato
70.78,51.92,47.7,27.72,61.59,6.65,77.43,Sunflower
50.36,34.79,46.21,39.54,53.86,6.61,43.45,Bajra
115.23,60.56,118.41,28.48,75.82,5.78,151.71,Banana
23.79,62.98,34.99,14.99,45.89,7.03,25.12,Lentil
81.95,33.6,40.22,37.41,49.05,7.2,96.78,Cotton
30.58,67.97,46.82,21.78,42.82,7.78,47.56,Chickpea
81.48,51.08,59.39,30.23,86.29,6.7,222.73,Rice
94.72,58.26,56.01,22.57,60.08,5.91,103.45,Maize
97.11,54.07,49.48,25.98,84.92,6.47,208.66,Rice
102.67,42.49,70.1,22.73,60.94,6.17,120.14,Maize
73.69,41.49,53.78,23.59,55.14,6.35,99.57,Sunflower
103.1,63.01,74.98,13.72,53.82,6.99,62.22,Wheat
28.85,82.04,53.69,20.46,51.59,6.68,39.34,Chickpea
38.29,49.09,39.75,27.37,66.17,6.1,96.72,Groundnut
119.65,66.4,80.92,29.43,75.61,7.24,195.81,Sugarcane
108.47,65.11,125.92,19.3,73.51,5.72,107.43,Potato
99.03,49.6,65.81,27.88,61.06,6.45,124.01,Maize
20.74,76.93,53.39,25.3,68.83,6.9,107.43,Soybean
86.29,49.68,94.23,24.07,70.03,6.71,65.71,Tomato
117.69,65.58,99.01,28.9,80.25,7.46,165.03,Sugarcane
108.82,47.42,86.18,29.06,86.13,5.95,142.19,Banana
97.6,53.02,50.66,28.24,83.33,6.67,249.71,Rice
96.69,57.39,72.47,26.22,65.91,6.44,124.46,Maize
90.85,45.73,51.82,25.31,80.37,6.82,218.01,Rice
116.88,64.6,74.35,11.34,64.3,6.57,55.97,Wheat
77.28,52.13,66.68,8.77,60.95,6.63,62.91,Barley
106.79,50.0,55.74,37.65,88.5,6.38,210.65,Jute
89.93,31.04,56.95,36.07,44.46,7.43,67.44,Cotton
68.48,44.72,42.87,13.24,40.6,6.22,27.25,Mustard
111.12,67.8,70.32,18.18,50.6,7.39,79.76,Wheat
72.21,36.14,54.96,37.96,43.16,7.87,47.55,Jowar
67.21,59.99,67.46,16.4,65.67,7.0,56.66,Onion
91.49,37.14,58.47,34.64,80.69,6.88,222.68,Jute
20.71,68.02,63.91,27.18,66.53,6.37,134.29,Soybean
100.01,51.4,63.61,26.16,69.11,6.4,148.64,Maize
75.6,30.74,32.37,30.83,48.5,7.49,60.96,Bajra
84.54,40.34,76.54,23.29,55.24,6.67,80.86,Onion
97.75,47.02,42.34,26.43,87.62,6.62,205.06,Rice
91.25,70.74,81.46,26.76,66.54,6.14,85.5,Tomato
64.32,48.11,40.84,13.88,54.33,6.56,30.64,Mustard
136.76,65.96,100.41,29.23,88.94,6.14,171.72,Banana
91.3,55.43,49.98,25.12,80.09,6.36,246.31,Rice
96.48,59.1,56.42,25.02,86.36,6.05,212.88,Rice
127.73,56.79,93.35,37.95,82.29,7.06,174.24,Sugarcane
59.09,46.16,47.18,35.5,59.21,6.84,80.94,Jowar
97.01,57.35,54.17,33.37,86.97,6.68,230.93,Rice
58.81,42.9,39.77,24.47,57.64,6.9,73.72,Sunflower
26.67,83.15,48.65,15.95,42.57,7.63,48.03,Chickpea
84.74,41.6,50.57,14.4,46.79,6.43,63.89,Barley
26.69,75.78,60.95,25.4,67.28,6.8,98.34,Soybean
79.09,63.45,68.7,24.56,70.59,6.72,93.19,Tomato
28.42,81.43,64.37,25.37,71.13,7.11,92.62,Soybean
96.21,51.52,71.85,25.25,70.12,6.33,102.91,Maize
60.05,56.48,52.05,8.83,48.3,6.72,52.07,Barley
94.25,25.5,55.72,32.57,40.56,7.92,65.59,Cotton
61.64,40.02,46.74,15.1,49.64,6.6,39.16,Mustard
102.58,62.98,85.6,14.72,53.41,6.67,59.98,Wheat
126.1,58.37,104.74,32.66,79.67,6.64,185.43,Banana
116.97,63.63,85.88,19.41,59.35,7.24,74.15,Wheat
22.17,70.95,38.74,12.47,42.12,7.18,26.65,Lentil
90.87,33.31,54.05,8.79,60.78,6.8,66.48,Barley
53.57,45.93,44.42,28.6,51.64,6.41,54.26,Jowar
76.98,33.49,48.97,30.13,42.44,7.68,78.24,Jowar
92.37,55.58,65.01,16.83,55.21,7.09,54.79,Barley
77.7,33.04,38.63,29.48,61.73,7.94,68.93,Jowar
80.94,46.68,51.1,8.31,48.85,7.18,47.85,Barley
74.81,30.41,57.08,34.57,46.83,7.15,77.99,Cotton
23.77,87.74,40.88,17.6,41.84,7.85,37.15,Chickpea
82.89,57.18,69.11,21.05,74.41,6.61,69.69,Tomato
77.39,39.89,55.98,14.35,55.88,6.97,29.43,Mustard
36.66,77.71,49.36,25.89,60.07,7.07,93.3,Soybean
103.24,64.47,96.16,26.29,60.5,6.05,88.66,Tomato
55.62,30.61,40.25,37.19,49.17,7.82,31.95,Bajra
36.66,74.45,48.41,23.99,58.28,6.5,118.51,Soybean
78.95,53.63,99.14,22.78,67.54,6.01,97.37,Tomato
87.56,74.05,67.31,26.64,68.85,6.0,76.86,Tomato
84.39,47.38,41.04,39.61,47.32,6.4,43.64,Bajra
133.03,56.43,98.05,28.51,77.19,7.22,169.66,Sugarcane
104.73,62.12,84.72,13.2,57.59,6.66,78.79,Wheat
88.08,47.83,61.83,36.07,88.84,6.37,199.6,Jute
52.06,39.22,38.04,35.8,50.67,7.83,65.29,Bajra
81.13,47.48,58.89,31.42,86.71,6.63,209.95,Rice
26.4,57.98,34.46,14.29,50.2,6.57,36.47,Lentil
138.18,67.19,125.81,37.27,86.26,5.82,219.73,Banana
104.3,57.6,59.13,36.25,89.41,6.43,198.03,Jute
69.89,33.87,37.39,32.89,52.14,7.41,75.68,Jowar
51.14,36.04,64.0,32.74,67.47,6.75,112.49,Mango
90.99,61.31,68.71,23.18,63.81,6.0,126.54,Maize
103.78,48.27,91.45,34.45,88.64,6.57,218.64,Banana
87.33,70.81,72.72,20.23,70.32,6.26,109.3,Tomato
28.87,59.49,43.1,14.5,37.21,7.54,25.06,Lentil
29.22,75.48,36.05,19.0,51.82,7.22,40.32,Lentil
28.03,70.66,41.38,19.1,39.41,7.57,29.87,Lentil
25.13,76.49,40.74,17.48,40.52,7.97,45.62,Chickpea
17.66,58.63,33.42,12.4,46.13,6.42,26.45,Lentil
88.37,55.02,42.03,27.78,82.76,6.43,249.02,Rice
18.54,75.23,32.07,19.2,48.39,6.41,35.18,Lentil
23.46,68.4,68.74,26.74,65.98,7.01,97.64,Soybean
79.13,44.7,55.78,31.32,48.19,7.09,38.35,Jowar
84.03,43.27,43.29,33.15,86.65,6.52,217.94,Rice
25.96,60.54,43.06,15.93,46.54,6.52,31.45,Lentil
78.4,30.89,57.46,36.38,47.72,7.13,68.6,Cotton
91.31,40.13,52.21,32.91,43.15,7.78,79.46,Cotton
106.06,76.33,102.73,19.87,76.14,5.35,119.17,Potato
94.4,57.69,61.73,16.39,64.34,7.68,54.88,Barley
63.03,29.48,48.4,31.4,52.02,7.92,48.82,Bajra
132.76,61.88,91.43,35.14,87.19,6.72,188.97,Banana
102.35,64.54,63.44,26.22,62.67,5.98,125.6,Maize
87.6,57.27,50.38,29.79,80.26,6.34,219.01,Rice
104.0,63.37,66.98,24.48,64.99,6.3,85.68,Tomato
75.37,25.29,39.16,38.32,51.38,7.31,39.14,Bajra
77.6,43.7,65.58,36.05,57.79,6.56,106.48,Mango
103.76,67.4,124.05,16.66,77.4,5.83,106.85,Potato
90.06,47.59,57.72,24.84,68.13,6.41,137.46,Maize
57.48,46.42,56.34,30.96,54.22,6.36,73.99,Jowar
81.03,51.04,47.76,12.01,57.14,6.35,63.32,Barley
89.6,52.0,45.83,31.95,88.6,6.78,201.98,Rice
71.86,53.78,40.2,22.6,60.0,7.12,86.36,Sunflower
78.83,43.74,47.28,17.97,61.97,6.58,65.7,Barley
115.09,71.01,87.11,33.74,72.21,6.82,170.5,Sugarcane
92.81,72.57,91.82,24.32,76.7,6.47,103.24,Tomato
103.17,49.18,65.51,37.02,81.28,7.1,211.91,Jute
68.02,53.05,72.08,18.05,52.22,6.4,69.2,Onion
87.96,31.03,53.67,16.81,57.27,6.18,40.94,Mustard
103.43,42.75,51.56,29.42,85.95,7.03,214.91,Jute
39.02,53.88,41.78,27.09,68.2,6.25,80.21,Groundnut
68.88,37.83,42.49,13.35,57.76,6.29,40.94,Mustard
89.11,52.4,45.55,26.88,84.64,6.35,229.18,Rice
101.01,60.53,83.84,14.58,53.4,7.11,57.59,Wheat
96.17,43.26,59.98,25.53,60.77,6.4,148.07,Maize
25.62,75.45,35.88,17.4,44.53,6.83,39.22,Lentil
82.41,31.83,36.66,37.38,53.96,6.98,63.35,Bajra
54.83,38.99,42.39,32.46,56.97,7.74,42.58,Bajra
54.4,43.91,49.01,36.76,52.0,7.48,46.55,Jowar
78.04,30.35,69.77,29.09,50.2,6.81,97.26,Mango
109.01,47.21,46.5,34.27,80.42,6.39,220.61,Jute
63.97,41.52,45.74,26.66,57.06,6.32,78.08,Sunflower
71.85,40.99,45.92,23.48,62.54,6.92,79.93,Sunflower
82.52,50.57,49.62,17.39,56.2,6.32,32.67,Barley
116.04,64.66,77.23,11.08,63.14,7.28,55.04,Wheat
84.87,32.63,45.53,31.24,89.24,6.2,234.3,Jute
97.09,49.85,44.94,33.71,84.45,6.51,217.96,Rice
61.78,38.46,49.58,32.45,60.21,7.77,44.9,Jowar
57.78,56.04,56.92,24.99,64.89,6.72,72.08,Sunflower
55.24,48.72,51.62,31.54,46.53,6.96,75.84,Jowar
30.89,82.3,51.43,19.52,47.24,7.21,47.92,Chickpea
62.84,38.56,42.36,13.81,47.19,6.72,53.59,Mustard
56.75,31.74,33.1,30.94,49.75,7.49,55.21,Bajra
60.18,38.65,51.39,14.72,64.94,6.79,67.95,Barley
53.93,40.9,34.82,31.38,43.28,7.44,35.53,Bajra
68.26,45.6,42.55,37.52,60.62,6.93,107.05,Mango
106.52,71.9,112.06,19.4,72.89,5.27,94.77,Potato
97.93,53.31,76.54,26.75,60.94,6.74,65.06,Tomato
27.99,69.65,43.89,16.6,37.11,6.56,49.73,Lentil
23.07,80.46,37.59,15.01,56.77,7.33,53.17,Chickpea
81.49,54.87,41.77,17.06,46.34,6.66,36.25,Barley
129.11,52.95,107.72,30.9,75.29,6.42,158.87,Banana
62.78,42.49,54.17,16.01,41.07,6.34,33.65,Mustard
34.56,65.29,69.82,25.02,67.51,7.15,135.8,Soybean
83.18,55.71,73.8,17.25,53.48,7.04,85.97,Onion
85.89,52.11,56.55,16.92,50.26,6.65,41.72,Mustard
24.68,83.64,39.14,20.46,54.48,7.73,41.82,Chickpea
75.24,36.55,42.36,22.85,67.34,7.19,77.05,Sunflower
73.27,48.35,47.98,11.75,52.21,6.94,56.97,Barley
29.81,71.06,42.74,13.6,39.18,7.73,28.38,Lentil
69.21,37.8,51.16,26.94,65.68,6.48,77.91,Sunflower
85.7,46.15,56.06,30.39,83.11,6.61,235.81,Rice
107.46,49.4,113.41,30.55,80.79,6.12,158.37,Banana
66.39,32.24,32.27,28.9,45.79,6.67,72.88,Jowar
89.98,51.86,92.94,27.45,60.08,6.19,84.78,Tomato
34.15,71.65,39.53,21.7,48.26,6.81,47.67,Chickpea
30.6,83.62,49.56,17.87,51.37,7.37,40.54,Chickpea
91.36,58.09,75.15,23.74,67.97,6.1,144.46,Maize
85.31,52.03,45.93,32.14,87.59,6.1,225.69,Rice
59.05,25.45,66.08,33.84,53.42,6.8,78.95,Mango
111.22,67.25,95.15,32.38,78.32,7.3,180.53,Sugarcane
91.29,36.64,52.07,31.31,89.95,6.23,189.11,Jute
69.32,39.29,65.11,33.0,55.4,6.43,117.64,Mango
22.61,67.55,37.21,13.49,46.15,6.98,40.51,Lentil
125.66,72.71,128.7,15.95,84.61,5.64,118.12,Potato
98.41,52.02,64.41,24.18,60.63,6.28,121.81,Maize
85.09,56.82,40.77,34.02,84.61,6.64,232.97,Rice
81.09,59.46,44.52,28.04,83.04,6.23,200.07,Rice
56.05,41.74,50.43,35.58,49.92,6.49,46.57,Bajra
15.93,65.06,33.28,14.67,44.48,6.82,35.41,Lentil
17.9,72.04,43.75,13.69,39.35,6.52,43.42,Lentil
119.24,65.09,79.06,12.79,64.38,6.64,67.39,Wheat
101.04,45.77,73.59,25.19,69.71,6.35,110.75,Maize
119.53,66.46,88.69,13.03,61.73,7.27,70.75,Wheat
94.83,52.74,64.5,24.69,71.77,6.05,122.61,Maize
125.68,55.15,95.75,35.04,79.93,6.57,168.1,Sugarcane
90.5,38.02,81.62,22.98,62.83,6.32,78.51,Onion
85.47,42.92,70.18,22.96,69.37,6.95,79.4,Onion
104.65,48.1,93.32,25.13,70.45,6.58,102.81,Tomato
20.83,76.11,25.09,16.16,38.69,7.42,26.08,Lentil
22.94,89.89,52.94,17.05,49.74,6.97,49.39,Chickpea
20.79,84.55,47.32,17.21,52.98,7.67,53.35,Chickpea
84.38,40.73,42.16,28.39,88.03,6.57,225.63,Rice
77.19,48.62,45.7,26.72,56.32,6.97,77.29,Sunflower
70.36,49.03,58.33,22.36,57.82,6.97,83.51,Onion
68.76,58.63,36.89,22.66,65.97,6.31,71.18,Sunflower
122.73,57.91,95.78,31.49,76.0,7.39,174.83,Sugarcane
100.15,47.91,56.57,31.91,80.72,6.82,203.58,Jute
59.01,26.26,42.05,33.92,41.11,6.61,49.49,Bajra
77.39,44.75,36.52,39.89,41.56,7.68,33.87,Bajra
95.85,69.37,88.08,27.82,74.76,6.62,103.03,Tomato
67.19,55.37,36.74,25.73,58.22,7.1,73.3,Sunflower
104.73,54.28,56.67,22.7,67.16,5.99,103.98,Maize
18.48,55.36,38.07,15.94,48.3,7.34,49.7,Lentil
29.96,66.56,52.42,16.3,44.06,7.49,41.72,Chickpea
24.6,55.07,30.06,14.23,36.59,6.72,33.03,Lentil
56.39,36.33,46.78,30.23,54.22,5.98,72.4,Mango
96.56,62.39,86.99,20.75,75.41,6.62,91.57,Tomato
29.37,83.64,62.77,27.02,71.74,6.74,101.9,Soybean
84.25,49.57,48.29,14.01,52.61,6.03,51.72,Mustard
32.05,77.2,42.63,20.82,48.82,6.87,42.68,Chickpea
99.39,55.13,64.39,33.54,80.88,6.9,218.71,Jute
98.59,53.86,63.22,26.32,67.73,6.03,137.74,Maize
66.39,39.98,44.43,25.19,65.14,6.85,82.8,Sunflower
98.37,51.02,70.86,26.65,60.41,6.22,109.34,Maize
96.33,46.45,55.94,25.5,62.76,5.9,132.69,Maize
78.57,40.53,32.99,30.8,44.77,7.19,42.78,Jowar
26.27,62.8,39.35,13.6,42.82,6.7,36.29,Lentil
87.44,55.53,46.82,34.31,88.58,6.43,237.54,Rice
121.63,76.84,123.99,19.51,72.51,5.87,95.66,Potato
90.16,35.57,47.71,28.57,87.65,6.73,232.85,Jute
87.38,53.85,67.47,23.3,71.09,6.14,78.73,Tomato
89.66,42.8,51.05,37.74,54.94,7.12,93.98,Cotton
89.03,55.93,64.16,19.28,53.95,6.37,57.15,Onion
64.92,41.55,55.18,12.54,52.96,7.35,32.18,Barley
71.76,39.86,57.65,31.98,61.7,6.66,72.01,Mango
